id;visible;order;date;title_it;title_en;title_fr;section;categories;subcategory;mainpage;articleUrl;thumbnail_url;thumbnail_fallbackGradient;video_type;video_id;video_src;allegati;testo_it;testo_en;testo_fr;description_it;description_en;description_fr;tags_client;tags_collective;tags_director;tags_duration;tags_featuring;tags_format;tags_language;tags_photography;tags_production;tags_recognition;tags_role
tra-i-profughi-curdi-di-kobane-fuggiti-in-poche-ore-combattiamo-per-liberare-la-citta-dallis-repubblica;true;11;2015-03-01;Crisi di Kobane;Kobane Crisis;Crise de Kobané;journalism;longform-reportage;;true;http://www.nawartpress.com/?p=704;../media/thumbnails/tra-i-profughi-curdi-di-kobane-fuggiti-in-poche-ore-combattiamo-per-liberare-la-.png;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;"../media/longform-reportage/international-crisis/kobane-confine-siria-turchia-repubblica.pdf|Kobane, confine Siria-Turchia (Repubblica);;../media/longform-reportage/international-crisis/kobane-curdi-in-fuga-azione.pdf|Kobane, curdi in fuga (Azione);;../media/longform-reportage/international-crisis/kobane-tent-cities-middleeasteye.pdf|Kobane tent cities (Middle East Eye);;../media/longform-reportage/international-crisis/curdi-lotta-giugno-azione.pdf|Curdi, la lotta (Azione);;../media/longform-reportage/political-and-social-justice-gender/donne-curde-combattenti.pdf|Donne curde combattenti;;http://www.repubblica.it/esteri/2014/10/09/news/reportage_kobane_confine_siria_turchia-97717684/|Repubblica;;http://www.middleeasteye.net/in-depth/features/tent-cities-gas-canisters-and-anger-turkish-syrian-border-2094319416|Middle East Eye;;http://www.choisir.ch/politique-economie/politique/item/2119|Choisir;;http://epaper2.caffe.ch/ee/ilca/_main_/2014/10/12/045/|Il Caffè;;http://epaper.azione.ch/ee/azion/_main_/2014/10/13/025/|Azione";"Ottobre 2014. L’ISIS ha posto sotto assedio la città curdo-siriana di Kobane. Oltre 200.000 civili sono fuggiti oltre il confine turco in pochi giorni, creando uno dei più grandi eventi di sfollamento in una sola settimana della guerra siriana.

Ho coperto l’esodo da Suruç—a sette chilometri da Kobane ma in un altro paese. Le tendopoli sono sorte da un giorno all’altro. La polizia turca ha usato gas lacrimogeni sulla folla. Il fumo saliva da Kobane mentre i bombardamenti della coalizione colpivano le posizioni dell’ISIS.";"October 2014. ISIS laid siege to the Syrian Kurdish town of Kobane. Over 200,000 civilians fled across the Turkish border in days, creating one of the largest single-week displacement events of the Syrian war.

I covered the exodus from Suruç—seven kilometers from Kobane but in another country. Tent cities appeared overnight. Turkish police used tear gas on crowds. Smoke rose from Kobane as coalition airstrikes hit ISIS positions.";"Octobre 2014. Daech a assiégé la ville kurde syrienne de Kobané. Plus de 200 000 civils ont fui à travers la frontière turque en quelques jours, créant l’un des plus grands événements de déplacement en une seule semaine de la guerre syrienne.

J’ai couvert l’exode depuis Suruç—à sept kilomètres de Kobané mais dans un autre pays. Des camps de tentes sont apparus du jour au lendemain. La police turque a utilisé des gaz lacrymogènes sur la foule. La fumée s’élevait de Kobané tandis que les frappes aériennes de la coalition frappaient les positions de Daech.";Crisi di Kobane (confine Turchia-Siria, 2014);Kobane Crisis (Turkey-Syria Border, 2014);Crise de Kobane (frontière Turquie-Syrie, 2014);;;;;;Photo + Video + Written dispatches;;;;;
al-sisi-incontra-renzi-in-egitto-proseguono-gli-arresti-di-massa-pagina-99;false;12;2015-03-01;Al Sisi incontra Renzi, in Egitto proseguono gli arresti di massa - Pagina 99;Al Sisi incontra Renzi, in Egitto proseguono gli arresti di massa - Pagina 99;Al Sisi incontra Renzi, in Egitto proseguono gli arresti di massa - Pagina 99;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=760;http://www.pagina99.it/upload/1416865110771.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
francais-caricaturer-legypte-choisir;false;13;2015-03-01;;;Caricaturer l'Egypte - Choisir;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=780;http://www.nawartpress.com/wp-content/uploads/2015/03/Schermata-2015-03-01-alle-21.18.05.png;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
egitto-dove-la-satira-puo-costare-la-liberta-repubblica;false;14;2015-03-01;Egitto, dove la satira può costare la libertà - Repubblica;Egitto, dove la satira può costare la libertà - Repubblica;Egitto, dove la satira può costare la libertà - Repubblica;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=784;http://www.repstatic.it/content/nazionale/img/2015/01/13/232702782-de8c8283-cab0-4d30-8040-bd5b49e048ab.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
english-who-was-egypts-omar-mustafa-middle-east-eye;false;15;2015-03-01;Who was Egypt's Omar Mustafa? - Middle East Eye;Who was Egypt's Omar Mustafa? - Middle East Eye;Who was Egypt's Omar Mustafa? - Middle East Eye;journalism;longform-reportage;;false;http://www.middleeasteye.net/news/egypt-issues-security-clearances-its-citizen-travellers-101752372;http://www.middleeasteye.net/sites/default/files/styles/main_image_article_page/public/omar%20mustafa_0.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
francais-rojava-et-la-question-kurde-choisir;false;16;2015-03-01;;;Rojava et la question kurde - Choisir;;conflict-zones;;false;http://www.nawartpress.com/?p=723;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
francais-kobane-suruc-7-km-de-distance-2-pays-1-peuple-choisir;false;17;2015-03-01;;;Kobane - Suruç : 7 km de distance, 2 pays, 1 peuple - Choisir;;conflict-zones;;false;http://www.nawartpress.com/?p=727;http://www.choisir.ch/images/actualites/KurdistanZeernews.jpg.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
legitto-bombarda-le-sue-case-per-combattere-i-jihadisti-pagina99;false;18;2015-03-01;L’Egitto bombarda le sue case per combattere i jihadisti - Pagina99;L’Egitto bombarda le sue case per combattere i jihadisti - Pagina99;L’Egitto bombarda le sue case per combattere i jihadisti - Pagina99;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=733;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
english-egypt-speak-day-1-and-2-of-vote-middle-east-eye;false;19;2015-03-01;Egypt speak: day 1 and 2 of vote - Middle East Eye;Egypt speak: day 1 and 2 of vote - Middle East Eye;Egypt speak: day 1 and 2 of vote - Middle East Eye;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=595;http://www.middleeasteye.net/sites/default/files/styles/wysiwyg_large/public/images/Gamal%20Ahmed%20Abo%20Ghael%20and%20Sohaira%20Hussein%20Bitwaldy.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
francais-syriens-en-egypte-de-refugies-a-terroristes-choisir;true;20;2015-03-01;Rifugiati siriani in Egitto;Syrian Refugees in Egypt;Réfugiés syriens en Égypte;journalism;longform-reportage;;true;http://www.nawartpress.com/?p=495;../media/longform-reportage/international-crisis/rifugiati-siriani-egitto-rainews-youtube.png;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;"https://www.youtube.com/watch?v=zKU1Wb3xZMc|Rainews24 – Siriani in fuga (YouTube);;http://choisir.ch/home/revues/2013/decembre-2013|Choisir";"Mentre la guerra in Siria si intensificava nel 2012-2013, centinaia di migliaia di persone fuggirono in Egitto in cerca di rifugio. Ma la crisi politica dell’Egitto stesso—il colpo di stato del 2013 e la repressione—ha reso i siriani bersagli di sospetti, detenzione e violenza.

Questo progetto documenta lo sfollamento siriano in Egitto: famiglie in fuga dalla guerra che si trovano ad affrontare una nuova crisi, comunità che navigano la xenofobia e l’instabilità politica, e il limbo precario di chi cerca sicurezza in un luogo insicuro.

La crisi dei rifugiati siriani incontra la crisi politica post-golpe dell’Egitto—sfollamento aggravato da xenofobia, detenzione arbitraria e condizioni in deterioramento che avrebbero spinto molti siriani a tentare la traversata del Mediterraneo.";"As Syria’s war intensified in 2012-2013, hundreds of thousands fled to Egypt seeking refuge. But Egypt’s own political crisis—the 2013 coup and crackdown—made Syrians targets of suspicion, detention, and violence.

This project documents Syrian displacement in Egypt: families escaping war only to face a new crisis, communities navigating xenophobia and political instability, and the precarious limbo of seeking safety in an unsafe place.

Syrian refugee crisis meeting Egypt’s post-coup political crisis—displacement compounded by xenophobia, arbitrary detention, and deteriorating conditions that would eventually push many Syrians to attempt Mediterranean crossings.";"Alors que la guerre en Syrie s’intensifiait en 2012-2013, des centaines de milliers de personnes ont fui vers l’Égypte. Mais la propre crise politique de l’Égypte—le coup d’État de 2013 et la répression—a fait des Syriens des cibles de suspicion, de détention et de violence.

Ce projet documente le déplacement syrien en Égypte : des familles fuyant la guerre pour affronter une nouvelle crise, des communautés naviguant la xénophobie et l’instabilité politique, et le limbe précaire de ceux qui cherchent la sécurité dans un lieu dangereux.

La crise des réfugiés syriens rencontre la crise politique post-coup d’État de l’Égypte—déplacement aggravé par la xénophobie, la détention arbitraire et des conditions détériorées qui pousseraient finalement de nombreux Syriens à tenter la traversée de la Méditerranée.";Rifugiati siriani in Egitto (2013);Syrian Refugees in Egypt (2013);Réfugiés syriens en Égypte (2013);;;;;;TV documentary + Written features;;;;;
pronta-la-nuova-costituzione-la-tunisia-e-un-po-piu-laica-pagina99;false;21;2015-03-01;Pronta la nuova costituzione  La Tunisia è un po' più laica - Pagina99;Pronta la nuova costituzione  La Tunisia è un po' più laica - Pagina99;Pronta la nuova costituzione  La Tunisia è un po' più laica - Pagina99;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=498;http://www.pagina99.it/upload/1389716091977.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
la-gatta-di-tunisi-che-lotta-contro-la-normalizzazione-pagina99;false;22;2015-03-01;La gatta di Tunisi che lotta contro la normalizzazione - Pagina99;La gatta di Tunisi che lotta contro la normalizzazione - Pagina99;La gatta di Tunisi che lotta contro la normalizzazione - Pagina99;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=501;http://www.pagina99.it/upload/1390911338936.png;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
il-viaggio-della-morte-testimonianze-da-alessandria-degitto-paralleli;false;23;2015-03-01;Il viaggio della morte. Testimonianze da Alessandria d'Egitto - Paralleli;Il viaggio della morte. Testimonianze da Alessandria d'Egitto - Paralleli;Il viaggio della morte. Testimonianze da Alessandria d'Egitto - Paralleli;;migration-displacement;;false;http://www.mediteu.org/?q=users/paralleli;http://www.mediteu.org/sites/default/files/styles/thumbnail/public/pictures/picture-100-1384623380.png;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
sotto-razzi-e-bombe-nel-kibbutz-di-beeri-il-caffe;false;24;2015-03-01;"Sotto razzi e bombe nel kibbutz di ""Be'eri"" - Il Caffè";"Sotto razzi e bombe nel kibbutz di ""Be'eri"" - Il Caffè";"Sotto razzi e bombe nel kibbutz di ""Be'eri"" - Il Caffè";journalism;longform-reportage;;false;http://www.caffe.ch/stories/cronaca/47907_sotto_razzi_e_bombe_nel_kibbutz_di_beeri/;http://new.caffe.ch/media/2014/08/22921_3_medium.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
lo-stato-islamico-del-sinai-una-guerra-alle-porte-di-israele-europa;false;25;2015-03-01;Lo stato islamico del Sinai, una guerra alle porte di Israele - Europa;Lo stato islamico del Sinai, una guerra alle porte di Israele - Europa;Lo stato islamico del Sinai, una guerra alle porte di Israele - Europa;journalism;longform-reportage;;false;http://www.europaquotidiano.it/2013/10/06/egitto-sinai/;http://www.europaquotidiano.it/wp-content/uploads/2013/10/sinai-guerra-egitto.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
la-disperazione-che-infrange-i-sogni-il-caffe;false;26;2015-03-01;La disperazione che infrange i sogni - Il Caffè;La disperazione che infrange i sogni - Il Caffè;La disperazione che infrange i sogni - Il Caffè;;migration-displacement;;false;http://www.caffe.ch/stories/cultura/45246_la_disperazione_che_infrange_i_sogni/;http://new.caffe.ch/media/2013/11/21063_3_medium.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
egitto-con-gli-occhi-dei-ragazzi-di-strada-pagina99;false;27;2015-03-01;Egitto con gli occhi dei ragazzi di strada - Pagina99;Egitto con gli occhi dei ragazzi di strada - Pagina99;Egitto con gli occhi dei ragazzi di strada - Pagina99;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=505;http://www.nawartpress.com/wp-content/uploads/2015/03/bambini-di-strata.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
risa-emozioni-silenzi-il-cairo-si-rivede-in-piazza-pagina99;false;28;2015-03-01;Risa, emozioni, silenzi, Il Cairo si rivede in piazza - Pagina99;Risa, emozioni, silenzi, Il Cairo si rivede in piazza - Pagina99;Risa, emozioni, silenzi, Il Cairo si rivede in piazza - Pagina99;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=541;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
una-piazza-da-oscar-left;false;29;2015-03-01;Una piazza da Oscar - Left;Una piazza da Oscar - Left;Una piazza da Oscar - Left;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=547;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
voto-dobbedienza-nigrizia;false;30;2015-03-01;Voto d'obbedienza - Nigrizia;Voto d'obbedienza - Nigrizia;Voto d'obbedienza - Nigrizia;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=579;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
la-rivoluzione-rubata-tre-anni-dopo-mubarak-pagina99;false;31;2015-03-01;La rivoluzione rubata, tre anni dopo Mubarak - Pagina99;La rivoluzione rubata, tre anni dopo Mubarak - Pagina99;La rivoluzione rubata, tre anni dopo Mubarak - Pagina99;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=535;http://www.pagina99.it/upload/1390848458285.JPG;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
sinai-business-beduino-nigrizia;false;32;2015-03-01;Sinai, business beduino - Nigrizia;Sinai, business beduino - Nigrizia;Sinai, business beduino - Nigrizia;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=510;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
